ID;Nombre;Pr;Vehicle Type;Motor;Engine Index;Engine Type;Gearbox Type
351;R21;1173;B482;F2N711;F2N711;F2N;AD4
352;R21;1173;B482;F2N754;F2N754;F2N;JB2
353;R21;1173;B482;F2N754;F2N754;F2N;JB3
354;R21;1173;B484;F2N758;F2N758;F2N;JB3
355;R21;1173;B48D;C2J770;C2J770;C2J;JB1
356;R21;1173;B48E;F3N722;F3N722;F3N;JB3
357;R21;1173;B48E;F3N723;F3N723;F3N;AD4
358;R21;1173;B48F;F3N726;F3N726;F3N;JB3
359;R21;1173;B48H;F8Q710;F8Q710;F8Q;JB3
360;R21;1173;B48I;F8Q710;F8Q710;F8Q;JB3
361;R21;1173;B48J;F2R702;F2R702;F2R;JB3
362;R21;1173;B48U;C2L717;C2L717;C2L;MB3
363;R21 Savanna;1175;K481;F2N712;F2N712;F2N;JB2
364;R21 Savanna;1175;K481;F2N712;F2N712;F2N;JB3
365;R21 Savanna;1175;K482;F2N710;F2N710;F2N;JB3
366;R21 Savanna;1175;K482;F2N710;F2N710;F2N;JB2
367;R21 Savanna;1175;K482;F2N711;F2N711;F2N;AD4
368;R21 Savanna;1175;K482;F2N754;F2N754;F2N;JB3
369;R21 Savanna;1175;K482;F2N754;F2N754;F2N;JB2
370;R21 Savanna;1175;K484;F2N758;F2N758;F2N;JB3
371;R21 Savanna;1175;K484;F2N786;F2N786;F2N;JB3
372;R21 Savanna;1175;K48E;F2N722;F2N722;F2N;JB3
373;R21 Savanna;1175;K48E;F3N722;F3N722;F3N;JB3
374;R21 Savanna;1175;K48E;F3N723;F3N723;F3N;AD4
375;R21 Savanna;1175;K48F;F3N726;F3N726;F3N;JB3
376;R21 Savanna;1175;K48H;F8Q710;F8Q710;F8Q;JB3
377;R21 Savanna;1175;K48I;F8Q710;F8Q710;F8Q;JB3
378;R21 Savanna;1175;K48J;F2R702;F2R702;F2R;JB3
379;R21 Savanna;1175;K48M;F2N750;F2N750;F2N;JB3
380;R21 Savanna;1175;K48M;F2N750;F2N750;F2N;JB2
381;R21 Savanna;1175;K48N;F2N752;F2N752;F2N;JB3
382;R21 Savanna;1175;K48U;C2L714;C2L714;C2L;JB3
383;R21 Savanna;1175;S481;F2N712;F2N712;F2N;JB3
384;R21 Savanna;1175;S481;F2N712;F2N712;F2N;JB2
385;R21 Savanna;1175;S482;F2N710;F2N710;F2N;JB3
386;R21 Savanna;1175;S482;F2N754;F2N754;F2N;JB3
387;R21 Savanna;1175;S48H;F8Q710;F8Q710;F8Q;JB3
388;R21;1176;B480;J8S784;J8S784;J8S;NG9
389;R21;1176;B483;J7R750;J7R750;J7R;NG9
390;R21;1176;B483;J7R751;J7R751;J7R;AR4
391;R21;1176;B486;J8S704;J8S704;J8S;NG9
392;R21;1176;B487;J8S786;J8S786;J8S;NG9
393;R21;1176;B488;J8S742;J8S742;J8S;NG9
394;R21;1176;B48A;J8S604;J8S604;J8S;NG9
395;R21;1176;B48C;J7R746;J7R746;J7R;NG9
396;R21;1176;B48C;J7R747;J7R747;J7R;AR4
397;R21;1176;B48K;J7T754;J7T754;J7T;NG9
398;R21;1176;B48K;J7T755;J7T755;J7T;AR4
399;R21;1176;B48O;J8S600;J8S600;J8S;NG9
400;R21;1176;B48P;J8S788;J8S788;J8S;NG9
401;R21;1176;B48R;J7R740;J7R740;J7R;UN7
402;R21;1176;B48R;J7R740;J7R740;J7R;NG9
403;R21;1176;B48V;J8S740;J8S740;J8S;NG9
404;R21;1176;B48W;J8S746;J8S746;J8S;NG9
405;R21;1176;B48Y;J7R754;J7R754;J7R;NG9
406;R21;1176;B48Y;J7R754;J7R754;J7R;UN7
407;R21 Savanna;1177;K480;J8S784;J8S784;J8S;NG9
408;R21 Savanna;1177;K483;J7R750;J7R750;J7R;NG7
409;R21 Savanna;1177;K483;J7R750;J7R750;J7R;NG9
410;R21 Savanna;1177;K483;J7R751;J7R751;J7R;AR4
411;R21 Savanna;1177;K486;J8S704;J8S704;J8S;NG9
412;R21 Savanna;1177;K486;J8S704;J8S704;J8S;NG7
413;R21 Savanna;1177;K487;J8S786;J8S786;J8S;NG9
414;R21 Savanna;1177;K488;J8S714;J8S714;J8S;NG9
415;R21 Savanna;1177;K488;J8S742;J8S742;J8S;NG9
416;R21 Savanna;1177;K489;J6R793;J6R793;J6R;MJ3
417;R21 Savanna;1177;K48A;J8S604;J8S604;J8S;NG9
418;R21 Savanna;1177;K48B;J7T756;J7T756;J7T;NG9
419;R21 Savanna;1177;K48C;J7R746;J7R746;J7R;NG9
420;R21 Savanna;1177;K48C;J7R747;J7R747;J7R;AR4
